name,description
3 months review HIV-,
Acute diarrhea diseases-flipchart ,
Acute diarrhea diseases-leaflets,
Acute diarrhea diseases-none,
Acute diarrhea diseases-# of community meetings/commemoration days,
Acute diarrhea diseases-# of community meetings/commemoration days females,
Acute diarrhea diseases-# of community meetings/commemoration days males,
Acute diarrhea diseases-# of film shows,
Acute diarrhea diseases-# of film shows female,
Acute diarrhea diseases-# of film shows males,
Acute diarrhea diseases-# of interactive drama females,
Acute diarrhea diseases-# of interactive drama males,
Acute diarrhea diseases-# of interactive drama sessions,
Acute diarrhea diseases-# of road shows,
Acute diarrhea diseases-# of road shows females,
Acute diarrhea diseases-# of road shows males,
Acute diarrhea diseases-posters,
Acute diarrhea diseases-TV/DVDs,
Acute diarrhoeal diseases-district hospital,
Acute diarrhoeal diseases-health centre,
Acute diarrhoeal diseases-health post,
Acute diarrhoeal diseases-other,
Acute diarrhoeal diseases-rural/comm hosp,
Acute diarrhoeal diseases-total# provided in this quarter,
Acute Flaccid Paralysis under 15 years - admission,
Acute Flaccid Paralysis under 15 years - inpatient death,
Acute psychiatric disorder - admission,
Acute psychiatric disorder - inpatient death,
Acute psychiatric disorder - new,
Acute respiratory infections -district hospital,
Acute respiratory infections-flipchart,
Acute respiratory infections -health centre,
Acute respiratory infections -health post,
Acute respiratory infections-leaflets,
Acute respiratory infections-none,
Acute respiratory infections-# of community meetings/commemoration days,
Acute respiratory infections-# of community meetings/commemoration days female,
Acute respiratory infections-# of community meetings/commemoration days males,
Acute respiratory infections-# of film shows,
Acute respiratory infections-# of film shows females,
Acute respiratory infections-# of film shows males,
Acute respiratory infections-# of interactive drama sessions,
Acute respiratory infections-# of interactive drama sessions females,
Acute respiratory infections-# of interactive drama sessions males,
Acute respiratory infections-# of road shows,
Acute respiratory infections-# of road shows females,
Acute respiratory infections-# of road shows males,
Acute respiratory infections -other,
Acute respiratory infections-posters,
Acute respiratory infections -rural/comm hosp,
Acute respiratory infections -total # provided in this quarter,
Acute respiratory infections-TV?DVDs,
Admissions from all causes,
adolescent 12-18 years - admissions,
adolescent 12-18 years - Default (lost to follow up) F,
adolescent 12-18 years - Died H,
adolescent 12- 18 years moderate- admissions,
adolescent 12-18 years moderate - admissions,
adolescent 12- 18 years moderate- Default(lost to follow up) F,
adolescent 12- 18 years moderate- Died H,
adolescent 12- 18 years moderate- non recovered (treatment failure) I,
adolescent 12- 18 years moderate- Recovered(transitioned) E,
adolescent 12-18 years moderate - Recovered (transitioned) E,
adolescent 12- 18 years moderate- total at the end of the month,
adolescent 12- 18 years moderate- total at the start of the month,
adolescent 12- 18 years moderate- TOTAL=E+F+H+I+J,
adolescent 12- 18 years moderate- total who received supplementary,
adolescent 12- 18 years moderate- Transferred Out J,
adolescent 12-18 years - Non - recovered (treatment failure) I,
adolescent 12-18 years - Recovered (transitioned) E,
adolescent 12-18 years - total at the end of the month,
adolescent 12-18 years - total at the start of the month,
adolescent 12-18 years - TOTAL=E+F+H+I+J,
adolescent 12-18 years - total who received therapeutic and / or supplementary food,
adolescent 12-18 years - Transferred Out J,
adults 19 years or older- admissions,
adults 19 years or older- Default (lost to follow up) F,
adults 19 years or older- Died H,
adults 19 years or older moderate- admissions,
adults 19 years or older moderate- Default(lost to follow-up) F,
adults 19 years or older moderate- Died H,
adults 19 years or older moderate- Non Recovered (treatment failure) I,
adults 19 years or older moderate- Recovered (transitioned) E,
adults 19 years or older moderate- Total at the end of the month,
adults 19 years or older moderate- total at the start of the month,
adults 19 years or older moderate- TOTAL=E+F+H+I+J,
adults 19 years or older moderate- total who received supplementary food,
adults 19 years or older moderate- total who received therapeutic and / or supplementary food,
adults 19 years or older moderate- Transferred Out ,
adults 19 years or older- Non-recovered (treatment failure) I,
adults 19 years or older- Recovered (transitioned) E,
adults 19 years or older- total at the end of the month,
adults 19 years or older- total at the start of the month,
adults 19 years or older-Total at the start of the month,
adults 19 years or older- TOTAL=E+F+H+I+J,
adults 19 years or older- total who received therapeutic and /or supplementary food,
adults 19 years or older- Transferred out J,
