Table,Element
ANC,Antenatal Drugs
ANC,Appoint Date
ANC,Area of Residence
ANC,Availabe TR
ANC,Baby Info
ANC,Bed net
ANC,Blood Pressure
ANC,Cellphone
ANC,Danger signs
ANC,Delivered Preg
ANC,DoB
ANC,Ever had SH
ANC,Fetal Heart Beat
ANC,First Name
ANC,Fundus (wks)
ANC,Gestation
ANC,Gravida
ANC,Height
ANC,HIV Test Date
ANC,HIV Test results
ANC,Home Add
ANC,Home Village
ANC,Landamark
ANC,Last Name
ANC,LMP
ANC,Location
ANC,Multiple Preg?
ANC,Nationality
ANC,Occupation
ANC,Past complications
ANC,Planned Delivery
ANC,Presentation
ANC,Prev complications
ANC,Prev Ttv
ANC,Surgical done before
ANC,T/A
ANC,Text
ANC,Ttv
ANC,Visit Type
ANC,Weight
BART,Ancestral Traditional Authority Area of residence
BART,ART number at Previous Location
BART,ART regimen
BART,ART related symptoms
BART,CD4 /Lympocyte Count Location
BART,CD4 Count
BART,CD4 Count date
BART,CD4 Count Location
BART,Cell Phone
BART,Clinical Notes
BART,Closest Landmark
BART,Confirmatory HIV Test year
BART,Confirmatory test
BART,Confirmatory test centre
BART,Cotrimoxaxole dosage
BART,CPT prescription
BART,Current District
BART,Current Region
BART,Date ART started
BART,Date of Birth
BART,Date of CD4 Count
BART,Day ART last taken
BART,Dose strength
BART,Drug dispensation
BART,Duration
BART,First Name
BART,Formulation
BART,Frequency
BART,Gender
BART,Generic drug
BART,Ground Phone Number
BART,Height
BART,Home District
BART,Home Village
BART,Initial CD4 Count
BART,Initial CD4 Percent
BART,Initial height
BART,Initial weight
BART,Last ARVs drugs taken
BART,Last Name
BART,Location of ART Initiation
BART,Location of confirmatory HIV test
BART,Location/Village
BART,Lymphocyte count date
BART,Lymphocyte Count Results
BART,Lymphocyte Count Results availability
BART,Middle name
BART,Month ART started
BART,Month of Birth
BART,Month of CD4 Count
BART,Moth ART last taken
BART,Need for follow up for HIV care
BART,Need for HIV care follow up
BART,Need to prescribe ARVs
BART,Need to Prescribe drugs
BART,Next visit date
BART,Number of condoms given
BART,Occupation
BART,Patient Breast feedin
BART,Patient Pregnant
BART,Previous ART clinic Registration
BART,Previous ART Treatment or not
BART,PRN
BART,Quantity
BART,Reason for ART Eligibility
BART,Recent CD4 Count results
BART,Referal to clinician
BART,Region of Origin
BART,Stage information
BART,Stages 1-2-3-4
BART,Sulphur Alergy
BART,TA/Area of residence
BART,TB Associated Symptoms
BART,TB status
BART,Type of Confirmatory HIV test
BART,Type of prescription Standard or variable
BART,Type of relationship with patient
BART,Usage of family planning methods
BART,Weight
BART,Year ART last taken
BART,Year ART started
BART,Year of Birth/age estimate
BART,Year of CD4 count
DHA,% of ANC women HIV+
DHA,% of ANC women with HIV status ascertained
DHA,% of HIV+ ANC women on ART
DHA,(pre-) Eclampsia
DHA,1
DHA,10
DHA,11
DHA,12
DHA,12 month survival adults (non B+)
DHA,12 month survival all ages
DHA,12 month survival children
DHA,15
DHA,16
DHA,17
DHA,18 month survival all ages
DHA,1st follow-up visit
DHA,1st month of quarter
DHA,2
DHA,24 month survival all ages
DHA,24 month survival children
DHA,24-72hrs
DHA,2nd  follow-up visit
DHA,2nd month of quarter
DHA,3
DHA,"3 chairs, table, testing surface"
DHA,36 month survival all ages
DHA,36 month survival children
DHA,36 month survival OptionB+
DHA,3rd month of quarter
DHA,3TC
DHA,4
DHA,48 month survival all ages
DHA,48 month survival children
DHA,48 month survival OptionB+
DHA,5
DHA,5-9 days
DHA,6
DHA,6 month survival all ages
DHA,6 month survival children
DHA,60 month survival all ages
DHA,60 month survival children
DHA,7
DHA,72 month survival all ages
DHA,72 month survival children
DHA,8
DHA,84 month survival all ages
DHA,84 month survival children
DHA,9
DHA,96 month survival all ages
DHA,96 month survival children
DHA,ABC
DHA,ABC / 3TC
DHA,Aciclovir
DHA,Adherence recorded
DHA,Adherence unknown (not recorded)
DHA,Ad-hoc allocation from warehouse
DHA,Admissions in the reporting period
DHA,Adult / paed formulation
DHA,Adult formulation
DHA,Adult formulation drug
DHA,Adult second line
DHA,Adults 15+ years
DHA,Adults 15+ yrs
DHA,AEHO Assitant Environmental Health Officer
DHA,After 72hrs
DHA,After 9 days
DHA,Age
DHA,Age 12 months
DHA,Age 2 months
DHA,Age 24 months
DHA,Age at ART initiation
DHA,Age at registration
DHA,Age cohorts (birth month)
DHA,Age group
DHA,Age group A (0-19 years)
DHA,Age group A (less than 1month)
DHA,Age group B (1month -14yrs)
DHA,Age group B (20-24 years)
DHA,Age group C ( 15-24yrs)
DHA,Age group C (25+ years)
DHA,Age group D ( 25yrs and over)
DHA,Albendazole
DHA,Alive HIV exposed
DHA,Alive HIV exposed AZT
DHA,Alive HIV exposed no ARV
DHA,Alive HIV exposed NVP
DHA,Alive HIV exposed NVP+AZT
DHA,Alive HIV exposure unknown
DHA,Alive not HIV exposed
DHA,All patients (checked data)
DHA,All patients (unchecked data)
DHA,Already on ART
DHA,Already on ART (TB prog)
DHA,Alternative first line unspecified
DHA,Amitriptylline
DHA,Amoxicillin / Clavulanic acid
DHA,ANC
DHA,ANC / Mat services at this site
DHA,ANC booking cohort  - 3rd month
DHA,ANC booking cohort - 1st month
DHA,ANC booking cohort - 2nd month
DHA,ANC clinic register
DHA,ANC cohort analysis
DHA,ANC cohort reports for all 3 months
DHA,ANC new registration - 1st month
DHA,ANC new registration - 2nd month
DHA,ANC new registration - 3rd month
DHA,ANC new registration report ver1
DHA,ANC Program
DHA,ANC register correctly filled
DHA,ANC report check sums
DHA,ANC report ver4
DHA,ANC services report
DHA,ANC women after 6 months
DHA,ANCNewRegArteli
DHA,ANCNewRegHiv
DHA,ANCNewRegTrim
DHA,ANCOutcArteli
DHA,ANCOutcCpt
DHA,ANCOutcEcl
DHA,ANCOutcFefo
DHA,ANCOutcHiv
DHA,ANCOutcPtBaby
DHA,ANCOutcPtMoth
DHA,ANCOutcSp
DHA,ANCOutcSyp
DHA,ANCOutcTrim
DHA,ANCOutcTtv
DHA,ANCOutcVis
DHA,Antenatal Care
DHA,Anti-malarials
DHA,Antiseptic / decontamination solution available
DHA,Antiseptic solution made up according to SOP
DHA,Any AE
DHA,Any ANC women not tested last month
DHA,Any ARVs
DHA,Army
DHA,ART
DHA,ART - Cumul cohort report (reg details) complete
DHA,ART - Occupation recorded
DHA,"ART - Outcomes complete, updated, dates specified"
DHA,ART - PMTCT recorded
DHA,ART - Registration continuous
DHA,ART - RegNo's correct for transfers in
DHA,ART - TB recorded
DHA,ART - Visit columns complete
DHA,ART (by time of initiation)
DHA,ART (for assessment)
DHA,ART 0-3 weeks
DHA,ART 4+ weeks
DHA,ART clinic days per week
DHA,ART clinic logistics
DHA,ART clinic registrations
DHA,ART cohort analysis
DHA,ART cohort registration group outcomes
DHA,ART eligibility determined
DHA,ART follow-up days
DHA,ART init and contin direct at ANC/MCH
DHA,ART initiation days
DHA,ART initiations after recent TB (ART prog)
DHA,ART initiations with current TB (ART prog)
DHA,ART outcomes cumulative
DHA,ART pat. card adult (yellow)
DHA,ART pat. card paed. (blue)
DHA,ART patients in transit between sites
DHA,ART patients walking
DHA,ART patients working
DHA,ART program
DHA,ART register
DHA,ART registration data cumulative
DHA,ART registration data quarter
DHA,ART re-initiations
DHA,ART side effects
DHA,ART survival 12 months (children)
DHA,ART survival 24 months (all ages)
DHA,ART survival 36 months (all ages)
DHA,ART survival 36 months (Option B+)
DHA,ART survival 48 months (all ages)
DHA,ART survival 48 months (Option B+)
DHA,ART survival 60 months (all ages)
DHA,ART survival 72 months (all ages)
DHA,ART survival 84 months (all ages)
DHA,ART survival 96 months (all ages)
DHA,ART survival analysis
DHA,ART survival analysis (data export)
DHA,ART transfers in
DHA,Artesunate
DHA,Artesunate / amodiaquine
DHA,ARTOutcAdh
DHA,ARTOutcSE
DHA,ARV drug register complete
DHA,ARV during labour
DHA,ARV during pregnancy
DHA,ARVs
DHA,Asphyxia
DHA,ATV / r
DHA,AVD
DHA,Azithromycin
DHA,AZT
DHA,AZT / 3TC
DHA,AZT / 3TC / NVP
DHA,AZT 0-3 weeks
DHA,AZT 4+ weeks
DHA,BA
DHA,Bad stock management at site
DHA,Balaka
DHA,Baylor
DHA,Before 5days
DHA,Below 24hrs
DHA,Benzathine Penicillin
DHA,BF not started within 60min
DHA,BF started within 60min
DHA,Blantyre
DHA,BldHepB
DHA,BldHepC
DHA,BldHIV
DHA,BldMal
DHA,BldSumOutc
DHA,BldSyp
DHA,BldXmatch
DHA,Bleomycine
DHA,blist packs
DHA,Blood Collection
DHA,Blood donor register
DHA,Blood group typing (for units and patients)
DHA,Blood lancet
DHA,Blood safety
DHA,Blood safety - 1st month
DHA,Blood safety - 2nd month
DHA,Blood safety - 3rd month
DHA,Blood safety report
DHA,Blood safety report check sums
DHA,Blood safety report version 1
DHA,Blood Transfusion
DHA,Blood units cross-matched (by source)
DHA,Blood units cross-matched by patient group
DHA,books
DHA,bottles
DHA,boxes
DHA,Breastfeeding initiated
DHA,Breech
DHA,BU
DHA,bundles
DHA,Business
DHA,Caesarean section
DHA,Calculated data elements
DHA,Calculated indicators
DHA,Capillary tubes
DHA,"Category A: MO, CO, nurse/midwife, MA"
DHA,"Category B: PA, WA, HSA"
DHA,Category C: Other
DHA,CD4 below threshold
DHA,CD4 counting
DHA,CD4 unknown or >threshold
DHA,Ceftriaxone
DHA,Central East Zone
DHA,Central hospital
DHA,Central Region
