Element Code,System,Label,Element,System Type ,Level ,HIV,Program Area,Kuunika Goal ,Potential Overlap (HIV),Overlap 
1,Register-ANC,ANC,Antenatal Drugs,Paper,Facility ,Y,PMTCT,16,?,NULL
2,Register-ANC,ANC,Appoint Date,Paper,Facility ,Y,PMTCT,6,N,NULL
3,Register-ANC,ANC,Area of Residence,Paper,Facility ,Y,DEMO,6,Y,NULL
4,Register-ANC,ANC,Availabe TR,Paper,Facility ,Y,PMTCT,6,?,NULL
5,Register-ANC,ANC,Baby Info,Paper,Facility ,Y,DEMO,6,Y,NULL
6,Register-ANC,ANC,Bed net,Paper,Facility ,Y,PMTCT,6,N,NULL
7,Register-ANC,ANC,Blood Pressure,Paper,Facility ,Y,PMTCT,6,N,NULL
8,Register-ANC,ANC,Cellphone,Paper,Facility ,Y,DEMO,6,Y,NULL
9,Register-ANC,ANC,Danger signs,Paper,Facility ,Y,PMTCT,6,N,NULL
10,Register-ANC,ANC,Delivered Preg,Paper,Facility ,Y,PMTCT,6,Y,NULL
11,Register-ANC,ANC,DoB,Paper,Facility ,Y,DEMO,6,Y,NULL
12,Register-ANC,ANC,Ever had SH,Paper,Facility ,Y,PMTCT,6,?,NULL
13,Register-ANC,ANC,Fetal Heart Beat,Paper,Facility ,Y,PMTCT,6,N,NULL
14,Register-ANC,ANC,First Name,Paper,Facility ,Y,DEMO,6,Y,NULL
15,Register-ANC,ANC,Fundus (wks),Paper,Facility ,Y,PMTCT,6,?,NULL
16,Register-ANC,ANC,Gestation,Paper,Facility ,Y,PMTCT,6,?,NULL
17,Register-ANC,ANC,Gravida,Paper,Facility ,Y,PMTCT,6,?,NULL
18,Register-ANC,ANC,Height,Paper,Facility ,Y,DEMO,6,Y,NULL
19,Register-ANC,ANC,HIV Test Date,Paper,Facility ,Y,PMTCT,6,Y,NULL
20,Register-ANC,ANC,HIV Test results,Paper,Facility ,Y,PMTCT,6,Y,NULL
21,Register-ANC,ANC,Home Add,Paper,Facility ,Y,DEMO,6,Y,NULL
22,Register-ANC,ANC,Home Village,Paper,Facility ,Y,DEMO,6,Y,NULL
23,Register-ANC,ANC,Landamark,Paper,Facility ,Y,DEMO,6,Y,NULL
24,Register-ANC,ANC,Last Name,Paper,Facility ,Y,DEMO,6,Y,NULL
25,Register-ANC,ANC,LMP,Paper,Facility ,Y,PMTCT,6,?,NULL
26,Register-ANC,ANC,Location,Paper,Facility ,Y,DEMO,6,Y,NULL
27,Register-ANC,ANC,Multiple Preg?,Paper,Facility ,Y,PMTCT,6,Y,NULL
28,Register-ANC,ANC,Nationality,Paper,Facility ,Y,DEMO,6,Y,NULL
29,Register-ANC,ANC,Occupation,Paper,Facility ,Y,DEMO,6,Y,NULL
30,Register-ANC,ANC,Past complications,Paper,Facility ,Y,PMTCT,6,Y,NULL
31,Register-ANC,ANC,Planned Delivery,Paper,Facility ,Y,PMTCT,6,Y,NULL
32,Register-ANC,ANC,Presentation,Paper,Facility ,Y,PMTCT,6,?,NULL
33,Register-ANC,ANC,Prev complications,Paper,Facility ,Y,PMTCT,6,Y,NULL
34,Register-ANC,ANC,Prev Ttv,Paper,Facility ,Y,PMTCT,6,?,NULL
35,Register-ANC,ANC,Surgical done before,Paper,Facility ,Y,PMTCT,6,?,NULL
36,Register-ANC,ANC,T/A,Paper,Facility ,Y,PMTCT,6,?,NULL
37,Register-ANC,ANC,Text,Paper,Facility ,Y,PMTCT,6,N,NULL
38,Register-ANC,ANC,Ttv,Paper,Facility ,Y,PMTCT,6,?,NULL
39,Register-ANC,ANC,Visit Type,Paper,Facility ,Y,PMTCT,6,N,NULL
40,Register-ANC,ANC,Weight,Paper,Facility ,Y,PMTCT,6,Y,NULL
41,BHT-EMR,BART,Ancestral Traditional Authority Area of residence,Electronic,Facility ,Y,DEMO,4,Y,NULL
42,BHT-EMR,BART,ART number at Previous Location,Electronic,Facility ,Y,DEMO,4,Y,NULL
43,BHT-EMR,BART,ART regimen,Electronic,Facility ,Y,ART,14,Y,NULL
44,BHT-EMR,BART,ART related symptoms,Electronic,Facility ,Y,ART,4,NULL,NULL
45,BHT-EMR,BART,CD4 /Lympocyte Count Location,Electronic,Facility ,Y,ART,4,N,NULL
46,BHT-EMR,BART,CD4 Count,Electronic,Facility ,Y,ART,4,Y,NULL
