name,description
3 MONTHS REVIEW HIV,NULL
ACUTE DIARRHEA DISEASES FLIPCHART,NULL
ACUTE DIARRHEA DISEASES LEAFLETS,NULL
ACUTE DIARRHEA DISEASES NONE,NULL
ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS,NULL
ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS FEMALES,NULL
ACUTE DIARRHEA DISEASES # OF COMMUNITY MEETINGS COMMEMORATION DAYS MALES,NULL
ACUTE DIARRHEA DISEASES # OF FILM SHOWS,NULL
ACUTE DIARRHEA DISEASES # OF FILM SHOWS FEMALE,NULL
ACUTE DIARRHEA DISEASES # OF FILM SHOWS MALES,NULL
ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA FEMALES,NULL
ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA MALES,NULL
ACUTE DIARRHEA DISEASES # OF INTERACTIVE DRAMA SESSIONS,NULL
ACUTE DIARRHEA DISEASES # OF ROAD SHOWS,NULL
ACUTE DIARRHEA DISEASES # OF ROAD SHOWS FEMALES,NULL
ACUTE DIARRHEA DISEASES # OF ROAD SHOWS MALES,NULL
ACUTE DIARRHEA DISEASES POSTERS,NULL
ACUTE DIARRHEA DISEASES TV DVDS,NULL
ACUTE DIARRHOEAL DISEASES DISTRICT HOSPITAL,NULL
ACUTE DIARRHOEAL DISEASES HEALTH CENTRE,NULL
ACUTE DIARRHOEAL DISEASES HEALTH POST,NULL
ACUTE DIARRHOEAL DISEASES OTHER,NULL
ACUTE DIARRHOEAL DISEASES RURAL COMM HOSP,NULL
ACUTE DIARRHOEAL DISEASES TOTAL# PROVIDED IN THIS QUARTER,NULL
ACUTE FLACCID PARALYSIS UNDER 15 YEARS ADMISSION,NULL
ACUTE FLACCID PARALYSIS UNDER 15 YEARS INPATIENT DEATH,NULL
ACUTE PSYCHIATRIC DISORDER ADMISSION,NULL
ACUTE PSYCHIATRIC DISORDER INPATIENT DEATH,NULL
ACUTE PSYCHIATRIC DISORDER NEW,NULL
ACUTE RESPIRATORY INFECTIONS DISTRICT HOSPITAL,NULL
ACUTE RESPIRATORY INFECTIONS FLIPCHART,NULL
ACUTE RESPIRATORY INFECTIONS HEALTH CENTRE,NULL
ACUTE RESPIRATORY INFECTIONS HEALTH POST,NULL
ACUTE RESPIRATORY INFECTIONS LEAFLETS,NULL
ACUTE RESPIRATORY INFECTIONS NONE,NULL
ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS,NULL
ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS FEMALE,NULL
ACUTE RESPIRATORY INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS MALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS FEMALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF FILM SHOWS MALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS FEMALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF INTERACTIVE DRAMA SESSIONS MALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS FEMALES,NULL
ACUTE RESPIRATORY INFECTIONS # OF ROAD SHOWS MALES,NULL
ACUTE RESPIRATORY INFECTIONS OTHER,NULL
ACUTE RESPIRATORY INFECTIONS POSTERS,NULL
ACUTE RESPIRATORY INFECTIONS RURAL COMM HOSP,NULL
ACUTE RESPIRATORY INFECTIONS TOTAL # PROVIDED IN THIS QUARTER,NULL
ACUTE RESPIRATORY INFECTIONS TV DVDS,NULL
ADMISSIONS FROM ALL CAUSES,NULL
ADOLESCENT 12 18 YEARS ADMISSIONS,NULL
ADOLESCENT 12 18 YEARS DEFAULT  LOST TO FOLLOW UP  F,NULL
ADOLESCENT 12 18 YEARS DIED H,NULL
ADOLESCENT 12 18 YEARS MODERATE ADMISSIONS,NULL
ADOLESCENT 12 18 YEARS MODERATE ADMISSIONS,NULL
ADOLESCENT 12 18 YEARS MODERATE DEFAULT LOST TO FOLLOW UP  F,NULL
ADOLESCENT 12 18 YEARS MODERATE DIED H,NULL
ADOLESCENT 12 18 YEARS MODERATE NON RECOVERED  TREATMENT FAILURE  I,NULL
ADOLESCENT 12 18 YEARS MODERATE RECOVERED TRANSITIONED  E,NULL
ADOLESCENT 12 18 YEARS MODERATE RECOVERED  TRANSITIONED  E,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE END OF THE MONTH,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL AT THE START OF THE MONTH,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL=E+F+H+I+J,NULL
ADOLESCENT 12 18 YEARS MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY,NULL
ADOLESCENT 12 18 YEARS MODERATE TRANSFERRED OUT J,NULL
ADOLESCENT 12 18 YEARS NON RECOVERED  TREATMENT FAILURE  I,NULL
ADOLESCENT 12 18 YEARS RECOVERED  TRANSITIONED  E,NULL
ADOLESCENT 12 18 YEARS TOTAL AT THE END OF THE MONTH,NULL
ADOLESCENT 12 18 YEARS TOTAL AT THE START OF THE MONTH,NULL
ADOLESCENT 12 18 YEARS TOTAL=E+F+H+I+J,NULL
ADOLESCENT 12 18 YEARS TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,NULL
ADOLESCENT 12 18 YEARS TRANSFERRED OUT J,NULL
ADULTS 19 YEARS OR OLDER ADMISSIONS,NULL
ADULTS 19 YEARS OR OLDER DEFAULT  LOST TO FOLLOW UP  F,NULL
ADULTS 19 YEARS OR OLDER DIED H,NULL
ADULTS 19 YEARS OR OLDER MODERATE ADMISSIONS,NULL
ADULTS 19 YEARS OR OLDER MODERATE DEFAULT LOST TO FOLLOW UP  F,NULL
ADULTS 19 YEARS OR OLDER MODERATE DIED H,NULL
ADULTS 19 YEARS OR OLDER MODERATE NON RECOVERED  TREATMENT FAILURE  I,NULL
ADULTS 19 YEARS OR OLDER MODERATE RECOVERED  TRANSITIONED  E,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE END OF THE MONTH,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL AT THE START OF THE MONTH,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL=E+F+H+I+J,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY FOOD,NULL
ADULTS 19 YEARS OR OLDER MODERATE TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,NULL
ADULTS 19 YEARS OR OLDER MODERATE TRANSFERRED OUT,NULL
ADULTS 19 YEARS OR OLDER NON RECOVERED  TREATMENT FAILURE  I,NULL
ADULTS 19 YEARS OR OLDER RECOVERED  TRANSITIONED  E,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE END OF THE MONTH,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE START OF THE MONTH,NULL
ADULTS 19 YEARS OR OLDER TOTAL AT THE START OF THE MONTH,NULL
ADULTS 19 YEARS OR OLDER TOTAL=E+F+H+I+J,NULL
ADULTS 19 YEARS OR OLDER TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD,NULL
ADULTS 19 YEARS OR OLDER TRANSFERRED OUT J,NULL
ALL OTHER COMMUNICABLE DISEASES ADMISSION,NULL
ALL OTHER COMMUNICABLE DISEASES INPATIENT DEATH,NULL
ALL OTHER COMMUNICABLE DISEASES NEW,NULL
ALL OTHER NON COMMUNICABLE DISEASES NEW,NULL
ALL OTHER POSITIONS,NULL
ALL OTHER SURGICAL CONDITIONS ADMISSION,NULL
ALL OTHER SURGICAL CONDITIONS INPATIENT DEATH,NULL
ALL OTHER SURGICAL CONDITIONS NEW,NULL
"AM NUMBER OF ASSET LOSSES  INCLUDING THEFTS ",NULL
AM NUMBER OF ASSETS ACQUIRED,NULL
AM NUMBER OF ASSETS DONATIONS RECEIVED,NULL
AM NUMBER OF ASSETS MANTAINED,NULL
AM NUM OF ASSETS REPORTEDLY IN NEED OF MANTAINANCE,NULL
AM TOTAL COST OF ALL ASSET REPAIRS INCURRED,NULL
AM TOTAL ESTIMATED VALUE OF ALL ASSETS LOSSES,NULL
"AM TOT ESTIMATED VALUE OF ASSETS RECEIVED  PURCHASES AND DONATIONS ",NULL
ANAEMIA ADMISSION,NULL
ANAEMIA INPATIENT DEATH,NULL
ANAEMIA NEW,NULL
ANC ART STATUS 1ST VISIT NOT ON ART,NULL
ANC ART STATUS 1ST VISIT ON ART BEFORE ANC,NULL
ANC ART STATUS 1ST VISIT START ART 0 27 WKS,NULL
ANC ART STATUS 1ST VISIT START ART 28+ WKS,NULL
ANC HIV STATUS 1ST VISIT NEW VE,NULL
ANC HIV STATUS 1ST VISIT NEW +VE,NULL
ANC HIV STATUS 1ST VISIT NOT DONE,NULL
