ID NUMBER,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,2.02.a who is responsible for collecting,2.02.b what additional roles/jobs,2.02.c where does it go,2.02.d How is it transmitted/shared,2.02.e How often,2.02.f How do you use,2.02.g how do others use,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,Level number,Level
1001,DM,1,MI,PLAN,MI,0,0,0,0,MI,MI,0,Missing Information,Planning,Missing Information,1,Central
1001,DM,1,MI,PLAN,MI,0,0,0,0,MI,MI,0,Missing Information,Planning,Missing Information,1,Central
1001,DM,1,MI,DESIGN,MI,0,0,0,0,MI,MI,0,Missing Information,Program Design,Missing Information,1,Central
1001,DM,1,MI,STAFFING,MI,0,0,0,0,MI,MI,0,Missing Information,Staffing/Workload,Missing Information,1,Central
1001,DM,1,MI,MODEL,MI,0,0,0,0,MI,MI,0,Missing Information,Data Modeling,Missing Information,1,Central
1001,DM,2,MI,DESIGN,MI,0,0,0,0,MI,MI,0,Missing Information,Program Design,Missing Information,1,Central
1001,DM,2,MI,COORDINATE,MI,0,0,0,0,MI,MI,0,Missing Information,Partner/Stakeholder Coordination,Missing Information,1,Central
1001,DM,8,MI,ADJUST,MI,0,0,0,0,MI,MI,0,Missing Information,Adjust Program Based On Performance,Missing Information,1,Central
1001,DM,9,MI,PLAN,BUDGET,0,0,0,0,MI,PLAN,0,Missing Information,Planning,Facility or Regional Budget,1,Central
1001,DM,9,MI,PLAN,BUDGET,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Planning,Facility or Regional Budget,1,Central
1001,DM,9,MI,PLAN,MEETING BUDGET,0,0,0,0,MI,PLAN,0,Missing Information,Planning,Budget Meeting,1,Central
1001,DM,9,MI,PLAN,MEETING BUDGET,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Planning,Budget Meeting,1,Central
1001,DM,9,MI,PLAN,SURVEY,0,0,0,0,MI,PLAN,0,Missing Information,Planning,Survey,1,Central
1001,DM,9,MI,PLAN,SURVEY,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Planning,Survey,1,Central
1001,DM,9,MI,PLAN,RESEARCH,0,0,0,0,MI,PLAN,0,Missing Information,Planning,Research,1,Central
1001,DM,9,MI,PLAN,RESEARCH,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Planning,Research,1,Central
1001,DM,9,MI,PLAN,CMED,0,0,0,0,MI,PLAN,0,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),1,Central
1001,DM,9,MI,PLAN,CMED,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),1,Central
1001,DM,9,MI,BUDGET,BUDGET,0,0,0,0,MI,PLAN,0,Missing Information,Facility or Regional Budget,Facility or Regional Budget,1,Central
1001,DM,9,MI,BUDGET,BUDGET,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Facility or Regional Budget,Facility or Regional Budget,1,Central
1001,DM,9,MI,BUDGET,MEETING BUDGET,0,0,0,0,MI,PLAN,0,Missing Information,Facility or Regional Budget,Budget Meeting,1,Central
1001,DM,9,MI,BUDGET,MEETING BUDGET,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Facility or Regional Budget,Budget Meeting,1,Central
1001,DM,9,MI,BUDGET,SURVEY,0,0,0,0,MI,PLAN,0,Missing Information,Facility or Regional Budget,Survey,1,Central
1001,DM,9,MI,BUDGET,SURVEY,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Facility or Regional Budget,Survey,1,Central
1001,DM,9,MI,BUDGET,RESEARCH,0,0,0,0,MI,PLAN,0,Missing Information,Facility or Regional Budget,Research,1,Central
1001,DM,9,MI,BUDGET,RESEARCH,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Facility or Regional Budget,Research,1,Central
1001,DM,9,MI,BUDGET,CMED,0,0,0,0,MI,PLAN,0,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),1,Central
1001,DM,9,MI,BUDGET,CMED,0,0,0,0,MI,PROGPERFORM,0,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),1,Central
1003,DM,1,TREAT,DRUG SUPPLY,SUPVISIT,0,0,0,0,QUARTERLY,MI,0,Patients Treated,Drug Supply,Data Is Accessed During Supervision Visits,1,Central
1003,DM,1,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,0,0,0,0,QUARTERLY,MI,0,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,1,Central
1003,DM,2,TEST HIV,PROGTARGET,MI,0,0,0,0,MI,MI,0,Test HIV,Program Targeting,Missing Information,1,Central
1003,DM,2,DRUG SUPPLY,PROGTARGET,MI,0,0,0,0,MI,MI,0,Drug Supply,Program Targeting,Missing Information,1,Central
1003,DM,2,DRUG EXPIRY,PROGTARGET,MI,0,0,0,0,MI,MI,0,Drug Expiry,Program Targeting,Missing Information,1,Central
1003,DM,2,DRUG STOCKOUT,PROGTARGET,MI,0,0,0,0,MI,MI,0,Drug Stock Out,Program Targeting,Missing Information,1,Central
1003,DM,3,MI,STANDARD,MI,0,0,0,0,MI,MI,0,Missing Information,Standardize Program,Missing Information,1,Central
1003,DM,4,MI,STANDARD,MI,0,0,0,0,MI,MI,0,Missing Information,Standardize Program,Missing Information,1,Central
1003,DM,8,TREAT,PROGPERFORM,MI,0,0,0,0,MI,MI,0,Patients Treated,Program Performance,Missing Information,1,Central
1003,DM,9,TREAT,RESMOB,MI,0,0,0,0,MI,MI,0,Patients Treated,Resource Mobilization,Missing Information,1,Central
1006,DM,1,MI,PROTOADHERE,PARTNER,0,0,0,0,QUARTERLY,UPTAKE,0,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,1,Central
1006,DM,1,MI,PROTOADHERE,PARTNER,0,0,0,0,QUARTERLY,TECHNICAL,0,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,1,Central
1006,DM,1,MI,PROTOADHERE,PARTNER,0,0,0,0,QUARTERLY,STRATEGY,0,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,1,Central
1006,DM,1,MI,PROTOADHERE,OFF MEUNIT,0,0,0,0,QUARTERLY,UPTAKE,0,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,1,Central
1006,DM,1,MI,PROTOADHERE,OFF MEUNIT,0,0,0,0,QUARTERLY,TECHNICAL,0,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,1,Central
1006,DM,1,MI,PROTOADHERE,OFF MEUNIT,0,0,0,0,QUARTERLY,STRATEGY,0,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,1,Central
