Fac_Code,Fac_Name,Fac_Type,Sup_Code,Program,Fac_Contact,Fac_Address1,Fac_Address2,Fac_City,Fac_State,Fac_Rescode,Fac_Phone,Fac_FAX,Field_Dispense,MaxMOS,MinMOS,Active,Warehouse,Highest_LV,Distribution_Role,dc_GuidID,fac_guidID
A,Central Warehouse,Central Warehouse,0,IEM,Mr. Central Warehouse Manager,123 Main Street,Suite 200,Capitol City,XX,99999-999966,800-555-5555,NULL,"0                                                                                                                                                                                                                                                              ",12,6,"1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ",1,NULL,46364641-4530-4136-2D34-4241332D3434
B,First District Warehouse,District Warehouse A,A,Contraceptive,Mr. First District Manager,567 First Avenue,Suite 100,First City,SS,66666,800-888-8888,NULL,"0                                                                                                                                                                                                                                                              ",8,4,"1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",2,NULL,39323742-3242-3136-2D30-3342392D3443
C,Second District Warehouse,District Warehouse A,A,MCH Medicine,Mrs. Second District Manager,6890 Fourth Street,NULL,Second City,QQ,78979,888-565-4455,NULL,"0                                                                                                                                                                                                                                                              ",8,4,"1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",2,NULL,38423245-4541-4634-2D41-3439312D3444
D,Third District Warehouse,District Warehouse B,A,Sterilization,Ms. Third Dist. Manager,1132 Fifth Street,NULL,Third City,TT,45657,864-887-4651,NULL,"0                                                                                                                                                                                                                                                              ",12,6,"1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",2,NULL,41304644-4433-3342-2D45-4331442D3438
E,Fourth District Warehouse,District Warehouse B,A,Kits & Equipmt.,Mr. Fourth Manager,890 Avenue A,NULL,Fourth City,SW,53465,NULL,NULL,"0                                                                                                                                                                                                                                                              ",12,6,"1                                                                                                                                                                                                                                                              ","1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",2,NULL,32383534-3243-4534-2D45-3430312D3443
F,Hospital A,Hospital,B,Common Medicine,Dr. Hospital A,789 Park Avenue,NULL,A City,SS,45565,NULL,NULL,"1                                                                                                                                                                                                                                                              ",4,2,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,36393244-4142-3433-2D30-4635362D3434
G,Hospital B,Hospital,C,MCH Medicine,Dr. Hospital B,7 Lucky Avenue,NULL,B City,MM,45654,NULL,NULL,"1                                                                                                                                                                                                                                                              ",6,3,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,38373044-3145-3842-2D35-3537422D3443
H,Small Town Clinic,Local Clinic,D,IEM,Nurse Small,88 Church Street,NULL,Small Town,UU,545654,NULL,NULL,"1                                                                                                                                                                                                                                                              ",3,1,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,38364633-4644-4641-2D31-4442362D3432
I,Medium City Clinic,Local Clinic,D,Common Medicine,Nurse Medium City,99 City Street,NULL,Medium City,SS,56465,NULL,NULL,"1                                                                                                                                                                                                                                                              ",7,2,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,30374235-4538-4435-2D45-4331462D3431
J,Doing Good NGO,NGO Program,E,Kits & Equipmt.,Dr. Doing Good,9 Good Street,NULL,Good City,SS,87654,NULL,NULL,"1                                                                                                                                                                                                                                                              ",8,2,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,46413342-3738-3037-2D41-3238332D3431
K,Rural Clinic,Local Clinic,C,Sterilization,Dr. Rural Clinic,12 Happy Street,NULL,Small City,OO,68655,NULL,NULL,"1                                                                                                                                                                                                                                                              ",3,1,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,36313941-4345-4534-2D37-4536362D3439
L,International NGO,NGO Program,B,Common Medicine,Dr. International,987 Embassy Row,NULL,Capitol City,SS,65465,NULL,NULL,"1                                                                                                                                                                                                                                                              ",7,2,"1                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                              ",3,NULL,31304645-3531-3837-2D43-3535382D3442
