ID,concept_ID_parent,concept_name,concept_name_short,concept_description
181,3,ART clinic logistics,ARTLog,ART clinic logistics
182,181,ART clinic days per week,ARTLogDays,Total ART clinic days per week (specify 0.5 if only half days)
183,182,Number of COs per clinic day,ARTLogDaysCo,Average number of clinical officers working on each ART clinic day in the reporting period
184,182,Number of nurses per clinic day,ARTLogDayNu,Average number of nurses working on each ART clinic day in the reporting period
185,182,Number of clerks per clinic day,ARTLogDayClerk,Average number of clerks working on each ART clinic day in the reporting period
186,181,Days from group counseling to ART initiation,ARTLogLag,Average number of days between patients attending the group counseling and ART initiation
187,2,Reporting version set,Ver,Set of versions of the data collection forms (ANC  maternity  HCC  ART  etc.). This is tied to the year and quarter and is specified in the code_year_quarter table to populate the data sets for the data entry forms automatically through a concep set
188,187,1,Ver1,
189,187,2,Ver2,
190,187,3,Ver3,
191,187,4,Ver4,
192,187,5,Ver5,
193,187,6,Ver6,
194,187,7,Ver7,
195,187,8,Ver8,
197,33,Item attributes,SplyAtt,Supply item attributes
198,197,Package type,SplyAttPac,Type of item packaging
199,198,tins,SplyAttPacTin,Tin of loose tablets or capsules
200,198,bottles,SplyAttPacBot,Bottle of liquid
201,198,boxes,SplyAttPacBox,Carton of items
202,198,vials,SplyAttPacVial,Vial of liquid or dry substance for reconsititution
203,198,blist packs,SplyAttPacBlis,Blister pack of tablets or capsules
204,198,bundles,SplyAttPacBun,Bundle of cards or sleeves
205,197,Pack units,SplyAttUnit,Measurement units for the quantification of items in a pack
206,205,tabs,SplyAttUnitTab,Tablets or capsules
207,205,each,SplyAttUnitEach,Individual pieces such as rapid tests
208,205,ml,SplyAttUnitMl,Millilitres of liquid
209,197,Item presentation,SplyAttPres,Formulation of drugs or presentation of non-drug items
210,209,tabs,SplyAttPresTab,Tablet or capsule
211,209,oral susp,SplyAttPresSyrup,Liquid oral suspension
212,209,inject,SplyAttPresInj,Injectable liquid or dry substance for reconstitution
213,209,kits,SplyAttPresKit,Rapid diagnostic test kit or filter paper bundle
214,36,DBS kit (filter paper  lancet  etc.),SplyDtDbs,Filter paper card  lancets  gloves  alcohol for dried blood spot collection
215,209,sheets,SplyAttPresSheet,Sheet  card or sleeve
216,209,books,SplyAttPresBook,Register book
217,34,d4T / 3TC,SplyArvReg1_1,Fixed dose combination stavudine lamivudine
218,34,d4T / 3TC / NVP,SplyArvReg1_2,Fixed dose combination stavudine lamivudine nevirapine
219,34,AZT / 3TC,SplyArvReg2_1,Fixed dose combination zidovudine lamivudine
220,34,AZT / 3TC / NVP,SplyArvReg2_2,Fixed dose combination zidovudine lamivudine nevirapine
221,34,NVP,SplyArvReg6_1,Nevirapine
222,34,EFV,SplyArvReg3_1,Efavirenz
223,34,TDF,SplyArvReg6_2,Tenofovir
224,34,LPV / r,SplyArvReg8_1,Fixed dose combination lopinavir ritonavir
225,34,AZT,SplyArvRegAzt,Zidovudine
226,34,TDF / 3TC,SplyArvReg6_3,Fixed dose combination tenofovir lamivudine
227,34,TDF / 3TC / EFV,SplyArvReg5_1,Fixed dose combination tenofovir lamivudine efavirenz
228,34,ABC,SplyArvReg9_1,Abacavir
229,34,ABC / 3TC,SplyArvReg9_2,Fixed dose combination abacavir lamivudine
230,34,ddI,SplyArvReg10_1,Didanosine
231,35,Cotrimoxazole,SplyOiCtx,Fixed dose combination sulphamethoxazole trimethoprim
232,35,Fluconazole (generic),SplyOiFlucGen,Fluconazole
233,35,Aciclovir,SplyOiAcic,Aciclovir
234,35,Ceftriaxone,SplyOiCeft,Ceftriaxone
235,35,Ciprofloxacin,SplyOiCipro,Ciprofloxacine
236,35,Vincristine,SplyOiVinc,Vincristine
237,35,Amitriptylline,SplyOiAmi,Amitriptylline
238,35,Morphine,SplyOiMorp,Morphine sulphate
239,35,Ganciclovir,SplyOiGanc,Ganciclovir
240,35,Ibuprofen,SplyOiIbu,Ibuprofen
241,35,Codeine,SplyOiCod,Codeine
242,35,Pyridoxine,SplyOiPyrid,Pyridoxine
243,35,Bleomycine,SplyOiBleo,Bleomycine
244,36,Determine syphilis,SplyDtSyp,Syphilis rapid test kit
245,36,Determine HIV1/2,SplyDtHivDet,Determine HIV rapid test kit
246,36,Uni-Gold HIV1/2,SplyDtHivUni,Uni-Gold HIV rapid test kit
247,36,SD Bioline HIV,SplyDtHivBio,SD Bioline HIV rapid test kit
248,36,Cryptococcal antigen,SplyDtCrypt,Cryptococcal antigen test kit
249,37,Benzathine Penicillin,SplyStiBenpen,Benzathine benzyl penicillin
250,37,Erythromycin,SplyStiEryt,Erythromycin
251,37,Azithromycin,SplyStiAzit,Azithromycin
252,37,Gentamicin,SplyStiGent,Gentamicin
253,37,Doxycycline,SplyStiDoxy,Doxycycline
254,37,Metronidazole,SplyStiMetro,Metronidazole
255,37,Clotrimazole,SplyStiClotr,Clotrimazole
256,37,Podophylline,SplyStiPodo,Podophylline
257,37,Gentian violet,SplyStiGentia,Gentian violet
258,209,vaginal tabs,SplyAttPresVag,Vaginal tablets with applicator
259,209,powder,SplyAttPresPowd,Powder
260,129,ART pat. card adult (yellow),SplyFileArtAd,ART patient card adult ARV formulation
261,129,ART pat. card paed. (blue),SplyFileArtPed,ART patient card paediatric ARV formulation
262,129,Pre-ART pat. card (green),SplyFilePre,Pre-ART patient card
263,129,Exposed child card (pink),SplyFileExp,HIV exposed child patient card
264,129,HCC register,SplyFileHcc,HIV care clinic register
265,129,ART register,SplyFileArt,ART clinic register
266,129,Polythene sleeve,SplyFileSleev,Polythene document sleeve
267,129,Lever arch file,SplyFileArch,Lever arch file
268,129,ANC clinic register,SplyFileAnc,ANC clinic register
269,129,Maternity register,SplyFileMat,Maternity register
270,129,HTC register,SplyFileHtc,HTC register
271,2,Facility attributes,Fac,Attributes of health facilities and services
272,271,Facility type,FacType,Type / level of health facility depending on the range of services offered
273,272,Central hospital,FacTypeCh,Central hospital
274,272,District hospital,FacTypeDh,District hospital or large CHAM facility at the level of a district hospital
275,272,Rural / community hospital,FacTypeRh,Rural hospital or CHAM community hospital
276,272,Other hospital,FacTypeOh,Other hospital
277,272,Health centre,FacTypeHc,Health centre
2,2,root,root,
3,2,ART program,ARTProg,ART program data elements
4,2,HIV Care Clinic program,HCCProg,HIV care clinic program data elements
5,734,Total ART clinic registrations,ARTRegTot,Total ART patients newly registered in the reporting period. Includes new ART initiations  re-initiations and transfers ins
9,732,Registration type,ARTRegType,
10,9,First time ART initiations (total patients),ARTRegInit,
11,9,ART re-initiations,ARTRegRe,
12,9,ART transfers in,ARTRegTI,
13,732,Sex,ARTRegSex,
14,13,Males,ARTRegM,
15,13,Females,ARTRegF,
16,15,Non-pregnant,ARTRegFNP,
17,15,Pregnant,ARTRegFP,
18,732,Age at ART initiation,ARTRegAge,ART patient age group
19,18,Adults 15+ yrs,ARTRegAdult,Adults 15 years and above at ART initiation
20,18,Children 0-14 yrs,ARTRegChild,Children under 15 years at ART initiation
21,732,Occupation,ARTRegOcc,
22,21,Housewives,ARTRegOccWife,
23,21,Farmers,ARTRegOccFarm,
24,21,Forces,ARTRegOccForc,
25,21,Teachers,ARTRegOccTeac,
26,21,Business,ARTRegOccBusi,
27,21,Health workers,ARTRegOccHcw,
28,21,Students,ARTRegOccStud,
29,21,Others,ARTRegOccOth,
30,732,Reason for starting ART,ARTRegRsn,Reason for starting ART (according to hierarchy of reasons shown in 2011 guidelines)
31,30,Presumed severe HIV Disease,ARTRsnPshd,Infants with presumed severe HIV disease
32,737,PCR infants,ARTRsnConf,Infants in WHO stage 1/2 (HIV infection confirmed by DNA-PCR)
33,2,Supply items,Sply,Items for procurement and supply
34,33,ARVs,SplyArv,Antiretroviral drugs
35,33,OI drugs,SplyOi,Drugs for HIV-related diseases
36,33,Diagnostics,SplyDt,Diagnostic test materials
37,33,STI drugs,SplySti,STI drugs
39,20,Children below 24 mths,ARTRegChildA,Children under 24 months at ART initiation. Includes previous category 0-17 months (assumed that only a very small proportion of the previous category 18 months - 14 years were 18-23 months and would now be misclassified in the merged category).
40,20,Children 2-14 yrs,ARTRegChildB,Children 2-14 years at ART initiation
43,736,CD4 below threshold,ARTRsnCd4,Children and adults in WHO stage 1/2 with CD4 count below age-specific threshold
44,735,WHO stage 3,ARTRsnWho3,WHO stage 3 (any CD4 count)
45,735,WHO stage 4,ARTRsnWho4,WHO stage 4 (any CD4 count)
46,2,ANC Program,ANCProg,ANC program data elements
47,865,Total HCC registrations,HCCRegTot,Total HCC patients newly registered in the reporting period. Includes new HCC enrolments  re-enrolments and transfers ins
48,864,Registration type,HCCRegType,HCC patient registration type
49,48,Patients enrolled first time,HCCRegFirst,Patients enrolled in HCC for the first time
50,48,Patients re-enrolled,HCCRegRe,Patients re-enrolled in HCC after interruption
51,48,Patients transferred in,HCCRegTI,Patients transferred in from other HCC
52,864,Sex,HCCRegSex,HCC patient sex
53,864,Age at registration,HCCRegAge,HCC patient age at registration
54,53,Children 0-14 yrs,HCCRegChild,Children under 15 years at HCC registration
55,53,Adults 15+ yrs,HCCRegAdult,Adults 15 years and above at HCC registration
56,54,Children 24 months - 14 years,HCCReg2-14y,Children 2-14 years at HCC registration
57,862,Children 2 - below 24 months,HCCReg2-23m,Children 2-23 months at HCC registration
60,864,Reason for HCC registration,HCCRegRsn,Reason for HCC registration
61,60,Exposed infants,HCCRegExpInf,Children under 2 years enrolled for HIV exposed child follow-up
62,52,Males (all ages),HCCRegM,Male HCC patients registered
63,52,Females (all ages),HCCRegF,Female HCC patients registered
64,63,Non-pregnant,HCCRegFNP,Non-pregnant female HCC patients registered
65,63,Pregnant,HCCRegFP,Pregnant female HCC patients registered (should not be in HCC)
66,862,Infants below 2 months,HCCReg0-1m,Infants below 2 months at HCC registration
67,60,Confirmed infected patients (pre-ART),HCCRegPreArt,Patients with confirmed HIV infection enrolled for pre-ART
68,863,Pre-ART follow-up outcome,HCCPreOutc,Primary follow-up outcomes of pre-ART patients as of the end of the reporting period
69,866,Total retained in pre-ART,HCCPreOutcRet,Total pre-ART patients retained in pre-ART follow-up
70,866,Started ART,HCCPreOutcART,Pre-ART patients who started ART
71,867,Transferred out,HCCPreOutcTO,Pre-ART patients who transferred out
72,866,Defaulted,HCCPreOutcDef,Pre-ART patients who were more than 2 months late for their next appointment
73,866,Died,HCCPreOutcDied,Pre-ART patients who died (before starting ART)
74,4,Exposed child follow-up outcomes,HCCExpOutc,Outcomes of age cohorts from exposed child follow-up
75,872,Total children registered,HCCExpOutcTot,Total HIV exposed children registered in birth cohort
76,871,HIV status,HCCExpOutcHIV,Latest HIV status of HIV exposed children in the birth cohort
77,871,CPT status,HCCExpOutcCPT,Latest CPT status of HIV exposed children in the birth cohort
78,871,Primary follow-up outcome,HCCExpOutcPrim,Primary follow-up outcome of HIV children in the birth cohort
79,78,Continue follow-up,HCCExpOutcCont,Children retained in HIV exposed child follow-up
80,78,Discharged uninfected,HCCExpOutcDis,HIV exposed children discharged confirmed uninfected
81,78,Started ART,HCCExpOutcART,HIV exposed children started on ART
82,873,Transferred out,HCCExpOutcTO,HIV exposed children transferred out to another site
83,78,Defaulted,HCCExpOutcDef,HIV exposed children who were more than 2 months late for their next appointment
84,78,Died,HCCExpOutcDied,HIV exposed children who died before starting ART
86,737,Pregnant women,ARTRsnPreg,HIV infected pregnant women in WHO stage 1/2 with CD4 count unknown or above 350
87,737,Breastfeeding mothers,ARTRsnBf,Breastfeeding women in WHO stage 1/2
88,737,Children 12-59 mths,ARTRsnU24,Children age 12-59 months in WHO stage 1/2  based on 2014 Malawi guidelines. This category has simply been re-defined for consistency to previous data collected (Children age 12-23 months in WHO stage 1/2)
89,735,Unknown / reason outside of guidelines,ARTRsnUnk,Patients with unknown reason for starting ART or other reason outside of guidelines
90,732,TB at ART initiation,ARTRegTB,TB status at the time of ART initiation
91,90,Never TB / TB > 24 months ago,ARTRegTBNev,
92,90,TB within the last 24 months,ARTRegTBRec,
93,90,Current episode of TB,ARTRegTBCurr,
94,738,Patients with KS,ARTRegKsY,Kaposi's sarcoma at the time of ART initiation
95,731,ART outcomes,ARTOutc,Primary ART follow-up outcome at the end of the reporting period
96,776,Alive on ART at site of last registration,ARTOutcAlive,
97,739,Total died,ARTOutcDied,
98,97,Died month 1,ARTOutcDiedM1,Died within 1st month after ART initiation
99,97,Died month 2,ARTOutcDiedM2,Died within 2nd month after ART initiation
100,97,Died month 3,ARTOutcDiedM3,Died within 3rd month after ART initiation
101,97,Died month 4+,ARTOutcDiedM4,Died after the end of the 3rd month after ART initiation
102,739,Defaulted,ARTOutcDef,Patients who were more than 2 months overdue after expected to have run out of ARVs
103,739,Stopped ART,ARTOutcStop,Patients who were last known to be alive and had stopped taking ARVs (clinician or patient own decision)
104,810,Transferred out,ARTOutcTO,Patient transferred out to another ART site
105,95,ART regimens,ARTOutcRegim,ART regimen and formulation at the last visit before end of the reporting period
106,773,Any side effects,ARTOutcSeY,Patients with any side effects at the last visit before end of the reporting period
107,95,Adherence,ARTOutcAdh,Adherence level at the last visit before end of the reporting period
108,95,Current TB status among ART patients (ICF),ARTOutcICF,TB status (any form of TB) at the last visit before end of the reporting period
109,743,Regimen 1P,ARTOutcRegim1P,
110,743,Regimen 2P,ARTOutcRegim2P,
111,743,Regimen 3P,ARTOutcRegim3P,
112,743,Regimen 4P,ARTOutcRegim4P,
113,742,Regimen 1A,ARTOutcRegim1A,
114,742,Regimen 2A,ARTOutcRegim2A,
115,742,Regimen 3A,ARTOutcRegim3A,
116,742,Regimen 4A,ARTOutcRegim4A,
117,742,Regimen 5A,ARTOutcRegim5A,
118,742,Regimen 6A,ARTOutcRegim6A,
119,744,Regimen 7A,ARTOutcRegim7A,
120,744,Regimen 8A,ARTOutcRegim8A,
121,745,Regimen 9P,ARTOutcRegim9P,
122,105,Other regimen (adult / paed),ARTOutcRegimOth,
123,770,0-3 doses missed,ARTOutcAdh0_6,Patients with 0-3 doses missed at their last visit before end of the reporting period. New threshold for 95% adherence level introduced in July 2014 to reflect most patients are now on 5A with once daily tab. Previous version: Patients with 0-6 doses missed at their last visit before end of the reporting period
124,770,4+ doses missed,ARTOutcAdh7+,Updated threshold (July 2014). Previous: Patients with 7 or more doses missed at their last visit before end of the reporting period
125,775,TB not suspected,ARTOutcTbN,
126,775,TB suspected,ARTOutcTbY,
127,748,TB confirmed  not on treatment,ARTOutcTbC,
128,748,TB confirmed  on TB treatment,ARTOutcTbRx,
129,33,Stationery,SplyFile,Stationery and M&E tools
130,2,Service/data quality checklist,QChk,Clinic supervision quality check list
131,130,General,QChkGen,General clinic logistics
132,131,Clinic tidy,QChkGenTidy,Clinic not orderly and tidy
133,131,Pharmacy organised,QChkGenPharm,Pharmacy disorganised / stock cards not updated
135,131,Standard M&E tools used,QChkGenME,Standard M&E tools not used / not properly maintained (paper or EDS)
136,130,Patient cards correctly filled,QChkCard,Patient cards correctly filled
137,136,ART - Card header complete,QChkCardHead,ART Card header details incomplete
138,136,ART - Confirmatory HIV tests recorded,QChkCardHiv,ART Confirmatory HIV test details not recorded (paed. and adult cards)
139,136,ART - Blue and yellow cards correctly selected,QChkCardForm,ART - Paediatric and adult formulation cards not correctly selected (transition by weight)
140,136,ART - Special stage defining conditions recorded,QChkCardSdc,ART - TB status  KS and/or pregnancy (at the time of ART initiation) not recorded
141,136,ART - WHO stage conditions recorded,QChkCardWho,ART - WHO stage defining conditions not written on card header / circled on reverse of cards
142,136,ART - 2-week visits recorded on footer,QChkCardFoot,ART - Details of 2-week initiation visit not recorded at bottom of card
143,136,ART - Weight recorded each visit,QChkCardWgt,ART - Weight not recorded at each visit
144,136,ART - Regimen and side effects recorded,QChkCardReg,ART regimen and side effects not recorded at each visit
145,136,ART - 'TB status current' recorded at all visits,QChkCardTb,ART - 'TB status current' not recorded at all ARV refill visits
146,136,ART - Doses missed recorded,QChkCardDos,ART - 'Doses missed' not recorded at all ARV refill visits
147,1023,ART register,QChkRgArt,Quality of ART clinic register
148,147,ART - Reg numbers correct and match cards,QChkRegNo,ART - Registration number not correctly assigned and/or don't match cards
149,147,ART - Transfer-ins in recorded,QChkRegTi,ART register - Transfer-ins not recorded
150,147,ART - All case finding columns complete,QChkRegData,ART register - case finding columns not complete (age  sex  reason …)
151,147,ART - Case finding data match cards,QChkRegMatch,ART register - Case finding data do not match cards
152,147,ART - Outcomes complete and updated,QChkRegOutCom,ART register - Outcomes incomplete and/or not updated every quarter
153,147,ART - Outcome dates specified,QChkRegOutDat,ART register - Outcome dates not specified
154,130,Reports complete and accurate,QChkRep,HIV Program reports complete and accurate (site own data)
155,154,ART - Quart ART coh report (reg details) complete,QChkRepARTQ,ART - Quarterly cohort report (registration details) incomplete and/or inaccurate
156,154,ART - Outcome data report complete,QChkRepOut,ART - Cumulative cohort analysis (for all patients ever registered) not done
157,154,ART - Cumulative cohort outcome report accurate,QChkRepOutAcc,ART - Cumulative cohort outcomes report incomplete or <98% accurate
158,131,Certificate of excellence awarded,QChkCert,Certificate of excellence awarded for Integrated HIV services
160,431,ART patients on CPT,ARTOutcCpt,Approx. % of patients alive on ART who are currently on CPT
161,755,ART women on Depo,ARTOutcDepo,Approx. % of women alive on ART who are currently on Depo
162,431,Pre-ART patients on CPT,HCCPreOutcCpt,Approx. % of patients retained in pre-ART who are currently on CPT
163,861,Pre-ART patients on IPT,HCCPreOutcIpt,Approx. % of patients retained in pre-ART who are currently on IPT
164,755,Pre-ART women on Depo,HCCPreOutcDepo,Approx. % of women retained in pre-ART who are currently on Depo
165,2,PEP program,PEPProg,Post exposure prophylaxis program
166,165,Total PEP clients registered,PEPRegTot,Total persons started on PEP in the reporting period
167,422,HTC register correctly filled,QChkHtcReg,HTC register not correctly filled: New page for each month  page totals  etc.
168,2,HTC program,HTCProg,HIV testing and counseling program
169,978,Total HIV tested,HTCTest,Total HTC encounters in the reporting period. Summary total entered directly until Q2 2012. From Q3 2012  the full dataset is entered an this turns into a calculated data element.
170,1362,New positive,HTCTestPos,Total counseled as HIV positive. Version 2 of HTC register did not accommodate clients who have been previously tested positive  so all of the ones classified as positive before were 'new positive' as in version 3 of HTC register.
171,131,CD4 machine installed,QChkCd4,CD4 count machine installed at this facility
172,131,TB registration site,QChkTbSite,Is this facility a TB registration site
173,423,TB register complete and accurate,QChkTbReg,TB register not correctly filled and/or page summaries not accurate
174,2,TB / HIV program,TBProg,TB / HIV program
175,761,Total TB patients registered,TBRegTot,Total TB patients registered for treatment in the reporting period
176,756,HIV status ascertained,TBRegHivtestY,TB patients with ascertained HIV status
178,176,HIV positive,TBRegHivPos,TB patients HIV positive
179,178,Already on ART,TBRegHivArtY,HIV positive TB patients already on ART at TB treatment start
278,272,Dispensary,FacTypeDisp,Dispensary
279,272,Health post,FacTypeHp,Health post
280,272,Special / other site,FacTypeSpec,Special / other facility such as dedicated HTC site
281,271,Managing authority,FacAuth,Managing authority for the service/department of the facility
282,281,MoH,FacAuthMoh,Ministry of health
283,281,CHAM,FacAuthCham,Christian Health Authority of Malawi
284,281,Indep NGO,FacAuthNgo,Independent non-governmental organization
285,281,Army,FacAuthMdf,Malawi defence force
286,281,MoEST,FacAuthMoest,Ministry of education  science and technology
287,281,Police,FacAuthPol,Malawi Police Service
288,281,Prisons,FacAuthPris,Malawi Prison Service
289,281,Private,FacAuthPriv,Private authority (for profit or company clinic)
290,281,Loc Govt,FacAuthLGov,Local government
291,281,Research,FacAuthRes,Research organization
292,281,Dep Forest,FacAuthFor,Department of Forestry
293,271,Health service type,FacServ,Type of health service / program provided
294,293,ART,FacServArt,ART
295,293,HTC,FacServHtc,HTC
296,293,ANC,FacServAnc,ANC
297,293,Ward,FacServWard,In-patient department
298,293,NRU,FacServNru,Nutritional rehabilitation unit
299,293,TB_BMU,FacServTbbmu,TB basic management unit (TB registration and treatment initiation site)
300,293,PMTCT,FacServPmtct,PMTCT
301,293,TB_periph,FacServTbperi,Peripheral TB treatment continuation facility
302,293,Paeds,FacServPaed,Paediatric department
303,293,Blood Transfusion,FacServBldTra,Blood transfusion services
304,293,STI,FacServSti,STI treatment
305,293,Maternity,FacServMat,Maternity
306,293,OPD,FacServOpd,Out patient department
307,293,Supply,FacServSply,Commodity supply unit
308,271,Health service mode,FacMode,Mode of service delivery
309,308,Static,FacModeStat,Static service: resident staff and own independent register
310,308,Outreach,FacModeOutr,Outreach service: non-resident staff but own independent register
311,308,Mobile,FacModeMob,Mobile service: non-resident staff and inclusion in static site's register
312,271,Free or paying,FacFreepay,Free or paying service
313,312,Free,FacFreepayFree,Free service open to the general public
314,312,Pay,FacFreepayPay,Paying service or open only to company employees and/or dependants
315,271,Rural/Urban,FacLoc,Location of facility by settlement density
316,315,Rural,FacLocRur,Rural
317,315,Urban,FacLocUrb,Urban
