Program,Table,Element,Abbreviation,Topic,HIV_Flag,REPORT_Flag,TB_Flag,ART_Flag,Maternity_Flag,Date_Flag
BHT_EMR,ANC,Antenatal Drugs,Antenatal,,N,N,N,N,N,N
BHT_EMR,ANC,Appoint Date,Appoint,,N,N,N,N,N,Y
BHT_EMR,ANC,Area of Residence,Area,,N,N,N,N,N,N
BHT_EMR,ANC,Availabe TR,Availabe,,N,N,N,N,N,N
BHT_EMR,ANC,Baby Info,Baby,,N,N,N,N,N,N
BHT_EMR,ANC,Bed net,Bed,,N,N,N,N,N,N
BHT_EMR,ANC,Blood Pressure,Blood,,N,N,N,N,N,N
BHT_EMR,ANC,Cellphone,Cellphone,,N,N,N,N,N,N
BHT_EMR,ANC,Danger signs,Danger,,N,N,N,N,N,N
BHT_EMR,ANC,Delivered Preg,Delivered,,N,N,N,N,N,N
BHT_EMR,ANC,DoB,DoB,,N,N,N,N,N,N
BHT_EMR,ANC,Ever had SH,Ever,,N,N,N,N,N,N
BHT_EMR,ANC,Fetal Heart Beat,Fetal,,N,N,N,N,N,N
BHT_EMR,ANC,First Name,First,,N,N,N,N,N,N
BHT_EMR,ANC,Fundus (wks),Fundus,,N,N,N,N,N,N
BHT_EMR,ANC,Gestation,Gestation,,N,N,N,N,N,N
BHT_EMR,ANC,Gravida,Gravida,,N,N,N,N,N,N
BHT_EMR,ANC,Height,Height,,N,N,N,N,N,N
BHT_EMR,ANC,HIV Test Date,HIV,HIV,Y,N,N,N,N,Y
BHT_EMR,ANC,HIV Test results,HIV,HIV,Y,N,N,N,N,N
BHT_EMR,ANC,Home Add,Home,,N,N,N,N,N,N
BHT_EMR,ANC,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,ANC,Landamark,Landamark,,N,N,N,N,N,N
BHT_EMR,ANC,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,ANC,LMP,LMP,,N,N,N,N,N,N
BHT_EMR,ANC,Location,Location,,N,N,N,N,N,N
BHT_EMR,ANC,Multiple Preg?,Multiple,,N,N,N,N,N,N
BHT_EMR,ANC,Nationality,Nationality,,N,N,N,N,N,N
BHT_EMR,ANC,Occupation,Occupation,,N,N,N,N,N,N
BHT_EMR,ANC,Past complications,Past,,N,N,N,N,N,N
BHT_EMR,ANC,Planned Delivery,Planned,,N,N,N,N,Y,N
BHT_EMR,ANC,Presentation,Presentation,,N,N,N,N,N,N
BHT_EMR,ANC,Prev complications,Prev,,N,N,N,N,N,N
BHT_EMR,ANC,Prev Ttv,Prev,,N,N,N,N,N,N
BHT_EMR,ANC,Surgical done before,Surgical,,N,N,N,N,N,N
BHT_EMR,ANC,T/A,T/A,,N,N,N,N,N,N
BHT_EMR,ANC,Text,Text,,N,N,N,N,N,N
BHT_EMR,ANC,Ttv,Ttv,,N,N,N,N,N,N
BHT_EMR,ANC,Visit Type,Visit,,N,N,N,N,N,N
BHT_EMR,ANC,Weight,Weight,,N,N,N,N,N,N
BHT_EMR,BART,Ancestral Traditional Authority Area of residence,Ancestral,ANC,N,N,N,N,N,N
BHT_EMR,BART,ART number at Previous Location,ART,ART,Y,Y,N,Y,N,N
BHT_EMR,BART,ART regimen,ART,ART,Y,N,N,Y,N,N
BHT_EMR,BART,ART related symptoms,ART,ART,Y,N,N,Y,N,N
BHT_EMR,BART,CD4 /Lympocyte Count Location,CD4,,N,N,N,N,N,N
BHT_EMR,BART,CD4 Count,CD4,,N,N,N,N,N,N
BHT_EMR,BART,CD4 Count date,CD4,,N,N,N,N,N,Y
BHT_EMR,BART,CD4 Count Location,CD4,,N,N,N,N,N,N
BHT_EMR,BART,Cell Phone,Cell,,N,N,N,N,N,N
BHT_EMR,BART,Clinical Notes,Clinical,,N,N,N,N,N,N
BHT_EMR,BART,Closest Landmark,Closest,,N,N,N,N,N,N
BHT_EMR,BART,Confirmatory HIV Test year,Confirmatory,HIV,Y,N,N,N,N,N
BHT_EMR,BART,Confirmatory test,Confirmatory,,N,N,N,N,N,N
BHT_EMR,BART,Confirmatory test centre,Confirmatory,,N,N,N,N,N,N
BHT_EMR,BART,Cotrimoxaxole dosage,Cotrimoxaxole,,N,N,N,N,N,N
BHT_EMR,BART,CPT prescription,CPT,,N,N,N,N,N,N
BHT_EMR,BART,Current District,Current,,N,N,N,N,N,N
BHT_EMR,BART,Current Region,Current,,N,N,N,N,N,N
BHT_EMR,BART,Date ART started,Date,ART,Y,N,N,Y,N,Y
BHT_EMR,BART,Date of Birth,Date,,N,N,N,N,Y,Y
BHT_EMR,BART,Date of CD4 Count,Date,,N,N,N,N,N,Y
BHT_EMR,BART,Day ART last taken,Day,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Dose strength,Dose,,N,N,N,N,N,N
BHT_EMR,BART,Drug dispensation,Drug,,N,N,N,N,N,N
BHT_EMR,BART,Duration,Duration,,N,N,N,N,N,N
BHT_EMR,BART,First Name,First,,N,N,N,N,N,N
BHT_EMR,BART,Formulation,Formulation,,N,N,N,N,N,N
BHT_EMR,BART,Frequency,Frequency,,N,N,N,N,N,N
BHT_EMR,BART,Gender,Gender,,N,N,N,N,N,N
BHT_EMR,BART,Generic drug,Generic,,N,N,N,N,N,N
BHT_EMR,BART,Ground Phone Number,Ground,,N,Y,N,N,N,N
BHT_EMR,BART,Height,Height,,N,N,N,N,N,N
BHT_EMR,BART,Home District,Home,,N,N,N,N,N,N
BHT_EMR,BART,Home Village,Home,,N,N,N,N,N,N
BHT_EMR,BART,Initial CD4 Count,Initial,,N,N,N,N,N,N
BHT_EMR,BART,Initial CD4 Percent,Initial,,N,N,N,N,N,N
BHT_EMR,BART,Initial height,Initial,,N,N,N,N,N,N
BHT_EMR,BART,Initial weight,Initial,,N,N,N,N,N,N
BHT_EMR,BART,Last ARVs drugs taken,Last,,N,N,N,N,N,N
BHT_EMR,BART,Last Name,Last,,N,N,N,N,N,N
BHT_EMR,BART,Location of ART Initiation,Location,ART,Y,N,N,Y,N,N
BHT_EMR,BART,Location of confirmatory HIV test,Location,HIV,Y,N,N,N,N,N
BHT_EMR,BART,Location/Village,Location/Village,,N,N,N,N,N,N
BHT_EMR,BART,Lymphocyte count date,Lymphocyte,,N,N,N,N,N,Y
BHT_EMR,BART,Lymphocyte Count Results,Lymphocyte,,N,N,N,N,N,N
BHT_EMR,BART,Lymphocyte Count Results availability,Lymphocyte,,N,N,N,N,N,N
BHT_EMR,BART,Middle name,Middle,,N,N,N,N,N,N
