ID NUMBER,DH/DM,GOAL,ELEMENT,DECISION,SOURCE,2.02.e How often,ELEMENT DESCRIPTION,DECISION DESCRIPTION,SOURCE DESCRIPTION,Level
1001A,DM,1A,MI,PLAN,MI,MI,Missing Information,Planning,Missing Information,Central
1001A,DM,1A,MI,PLAN,MI,MI,Missing Information,Planning,Missing Information,Central
1001A,DM,1A,MI,DESIGN,MI,MI,Missing Information,Program Design,Missing Information,Central
1001A,DM,1A,MI,STAFFING,MI,MI,Missing Information,Staffing/Workload,Missing Information,Central
1001A,DM,1A,MI,MODEL,MI,MI,Missing Information,Data Modeling,Missing Information,Central
1001A,DM,2A,MI,DESIGN,MI,MI,Missing Information,Program Design,Missing Information,Central
1001A,DM,2A,MI,COORDINATE,MI,MI,Missing Information,Partner/Stakeholder Coordination,Missing Information,Central
1001A,DM,8A,MI,ADJUST,MI,MI,Missing Information,Adjust Program Based On Performance,Missing Information,Central
1001A,DM,9A,MI,PLAN,BUDGET,MI,Missing Information,Planning,Facility or Regional Budget,Central
1001A,DM,9A,MI,PLAN,BUDGET,MI,Missing Information,Planning,Facility or Regional Budget,Central
1001A,DM,9A,MI,PLAN,MEETING BUDGET,MI,Missing Information,Planning,Budget Meeting,Central
1001A,DM,9A,MI,PLAN,MEETING BUDGET,MI,Missing Information,Planning,Budget Meeting,Central
1001A,DM,9A,MI,PLAN,SURVEY,MI,Missing Information,Planning,Survey,Central
1001A,DM,9A,MI,PLAN,SURVEY,MI,Missing Information,Planning,Survey,Central
1001A,DM,9A,MI,PLAN,RESEARCH,MI,Missing Information,Planning,Research,Central
1001A,DM,9A,MI,PLAN,RESEARCH,MI,Missing Information,Planning,Research,Central
1001A,DM,9A,MI,PLAN,CMED,MI,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,9A,MI,PLAN,CMED,MI,Missing Information,Planning,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,9A,MI,BUDGET,BUDGET,MI,Missing Information,Facility or Regional Budget,Facility or Regional Budget,Central
1001A,DM,9A,MI,BUDGET,BUDGET,MI,Missing Information,Facility or Regional Budget,Facility or Regional Budget,Central
1001A,DM,9A,MI,BUDGET,MEETING BUDGET,MI,Missing Information,Facility or Regional Budget,Budget Meeting,Central
1001A,DM,9A,MI,BUDGET,MEETING BUDGET,MI,Missing Information,Facility or Regional Budget,Budget Meeting,Central
1001A,DM,9A,MI,BUDGET,SURVEY,MI,Missing Information,Facility or Regional Budget,Survey,Central
1001A,DM,9A,MI,BUDGET,SURVEY,MI,Missing Information,Facility or Regional Budget,Survey,Central
1001A,DM,9A,MI,BUDGET,RESEARCH,MI,Missing Information,Facility or Regional Budget,Research,Central
1001A,DM,9A,MI,BUDGET,RESEARCH,MI,Missing Information,Facility or Regional Budget,Research,Central
1001A,DM,9A,MI,BUDGET,CMED,MI,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),Central
1001A,DM,9A,MI,BUDGET,CMED,MI,Missing Information,Facility or Regional Budget,Central Monitoring and Evaluation Division (CMED),Central
1003A,DM,1A,TREAT,DRUG SUPPLY,SUPVISIT,QUARTERLY,Patients Treated,Drug Supply,Data Is Accessed During Supervision Visits,Central
1003A,DM,1A,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,QUARTERLY,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,Central
1003A,DM,2A,TEST HIV,PROGTARGET,MI,MI,Test HIV,Program Targeting,Missing Information,Central
1003A,DM,2A,DRUG SUPPLY,PROGTARGET,MI,MI,Drug Supply,Program Targeting,Missing Information,Central
1003A,DM,2A,DRUG EXPIRY,PROGTARGET,MI,MI,Drug Expiry,Program Targeting,Missing Information,Central
1003A,DM,2A,DRUG STOCKOUT,PROGTARGET,MI,MI,Drug Stock Out,Program Targeting,Missing Information,Central
1003A,DM,3A,MI,STANDARD,MI,MI,Missing Information,Standardize Program,Missing Information,Central
1003A,DM,4A,MI,STANDARD,MI,MI,Missing Information,Standardize Program,Missing Information,Central
1003A,DM,8A,TREAT,PROGPERFORM,MI,MI,Patients Treated,Program Performance,Missing Information,Central
1003A,DM,9A,TREAT,RESMOB,MI,MI,Patients Treated,Resource Mobilization,Missing Information,Central
1006A,DM,1A,MI,PROTOADHERE,PARTNER,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
1006A,DM,1A,MI,PROTOADHERE,PARTNER,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
1006A,DM,1A,MI,PROTOADHERE,PARTNER,QUARTERLY,Missing Information,Protocol Adherence,An organization or group that partners with the Ministry.,Central
1006A,DM,1A,MI,PROTOADHERE,OFF MEUNIT,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,1A,MI,PROTOADHERE,OFF MEUNIT,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,1A,MI,PROTOADHERE,OFF MEUNIT,QUARTERLY,Missing Information,Protocol Adherence,Monitoring and Evaluation Unit,Central
1006A,DM,2A,MAP,PROGPERFORM,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,2A,MAP,PROGPERFORM,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,2A,MAP,PROGPERFORM,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,2A,MAP,PROGPERFORM,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Program Performance,Program Performance,Central
1006A,DM,2A,MAP,PROGPERFORM,ANECDOTE,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,2A,MAP,PROGPERFORM,ANECDOTE,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,2A,MAP,PROGPERFORM,ANECDOTE,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,2A,MAP,PROGPERFORM,ANECDOTE,QUARTERLY,Map Survival Mechanism,Program Performance,Anecdotal Information,Central
1006A,DM,2A,MAP,PROGPERFORM,PARTNER,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,PROGPERFORM,PARTNER,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,PROGPERFORM,PARTNER,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,PROGPERFORM,PARTNER,QUARTERLY,Map Survival Mechanism,Program Performance,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,PROGPERFORM,MAPPING,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,2A,MAP,PROGPERFORM,MAPPING,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,2A,MAP,PROGPERFORM,MAPPING,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,2A,MAP,PROGPERFORM,MAPPING,QUARTERLY,Map Survival Mechanism,Program Performance,Mapping,Central
1006A,DM,2A,MAP,UPTAKE,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,2A,MAP,UPTAKE,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,2A,MAP,UPTAKE,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,2A,MAP,UPTAKE,PROGPERFORM,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Program Performance,Central
1006A,DM,2A,MAP,UPTAKE,ANECDOTE,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,2A,MAP,UPTAKE,ANECDOTE,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,2A,MAP,UPTAKE,ANECDOTE,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,2A,MAP,UPTAKE,ANECDOTE,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Anecdotal Information,Central
1006A,DM,2A,MAP,UPTAKE,PARTNER,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,UPTAKE,PARTNER,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,UPTAKE,PARTNER,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,UPTAKE,PARTNER,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,2A,MAP,UPTAKE,MAPPING,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,2A,MAP,UPTAKE,MAPPING,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,2A,MAP,UPTAKE,MAPPING,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,2A,MAP,UPTAKE,MAPPING,QUARTERLY,Map Survival Mechanism,Increase Uptake/Demand Creation,Mapping,Central
1006A,DM,3A,MI,LINK,BBSS,MI,Missing Information,Link Partners And Programs,BBSS,Central
1006A,DM,3A,MI,LINK,SYS DHIS2,MI,Missing Information,Link Partners And Programs,DHIS2,Central
1006A,DM,3A,MI,LINK,SURVEY SEN,MI,Missing Information,Link Partners And Programs,Sentinel Survey,Central
1006A,DM,4A,MI,PROGTARGET,SYS DHIS2,MI,Missing Information,Program Targeting,DHIS2,Central
1006A,DM,4A,MI,PROGTARGET,PARTNER,MI,Missing Information,Program Targeting,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC,UPTAKE,RESEARCH,MI,Reached Through SBC,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC,UPTAKE,RESEARCH,MI,Reached Through SBC,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC,UPTAKE,PARTNER,MI,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC,UPTAKE,PARTNER,MI,Reached Through SBC,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC YIELD,UPTAKE,RESEARCH,MI,SBC Yield,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC YIELD,UPTAKE,RESEARCH,MI,SBC Yield,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC YIELD,UPTAKE,PARTNER,MI,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC YIELD,UPTAKE,PARTNER,MI,SBC Yield,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC APPROACH,UPTAKE,RESEARCH,MI,SBC Approach,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC APPROACH,UPTAKE,RESEARCH,MI,SBC Approach,Increase Uptake/Demand Creation,Research,Central
1006A,DM,5A,SBC APPROACH,UPTAKE,PARTNER,MI,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC APPROACH,UPTAKE,PARTNER,MI,SBC Approach,Increase Uptake/Demand Creation,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC,PRIORITIZE,RESEARCH,MI,Reached Through SBC,Prioritization,Research,Central
1006A,DM,5A,SBC,PRIORITIZE,RESEARCH,MI,Reached Through SBC,Prioritization,Research,Central
1006A,DM,5A,SBC,PRIORITIZE,PARTNER,MI,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC,PRIORITIZE,PARTNER,MI,Reached Through SBC,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC YIELD,PRIORITIZE,RESEARCH,MI,SBC Yield,Prioritization,Research,Central
1006A,DM,5A,SBC YIELD,PRIORITIZE,RESEARCH,MI,SBC Yield,Prioritization,Research,Central
1006A,DM,5A,SBC YIELD,PRIORITIZE,PARTNER,MI,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC YIELD,PRIORITIZE,PARTNER,MI,SBC Yield,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC APPROACH,PRIORITIZE,RESEARCH,MI,SBC Approach,Prioritization,Research,Central
1006A,DM,5A,SBC APPROACH,PRIORITIZE,RESEARCH,MI,SBC Approach,Prioritization,Research,Central
1006A,DM,5A,SBC APPROACH,PRIORITIZE,PARTNER,MI,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,5A,SBC APPROACH,PRIORITIZE,PARTNER,MI,SBC Approach,Prioritization,An organization or group that partners with the Ministry.,Central
1006A,DM,6A,MI,UPTAKE,RPT LAHAF,MI,Missing Information,Increase Uptake/Demand Creation,LAHARF Report,Central
1006A,DM,6A,MI,UPTAKE,SYS HMIS,MI,Missing Information,Increase Uptake/Demand Creation,HMIS,Central
1006A,DM,6A,MI,UPTAKE,SYS DHIS2,MI,Missing Information,Increase Uptake/Demand Creation,DHIS2,Central
1006A,DM,7A,MI,MAP,RPT LAHAF,MI,Missing Information,Map Survival Mechanism,LAHARF Report,Central
1006A,DM,7A,MI,MAP,SYS HMIS,MI,Missing Information,Map Survival Mechanism,HMIS,Central
1006A,DM,7A,MI,MAP,SYS DHIS2,MI,Missing Information,Map Survival Mechanism,DHIS2,Central
1006A,DM,7A,MI,COORDINATE,SYS HMIS,MI,Missing Information,Partner/Stakeholder Coordination,HMIS,Central
1006A,DM,7A,MI,COORDINATE,SYS DHIS2,MI,Missing Information,Partner/Stakeholder Coordination,DHIS2,Central
1006A,DM,7A,MI,COORDINATE,RPT SUPER,MI,Missing Information,Partner/Stakeholder Coordination,Supervision Report,Central
1006A,DM,8A,MI,STAFFING,TWG,MI,Missing Information,Staffing/Workload,Technical Working Group,Central
1006A,DM,8A,MI,STAFFING,MEETING,MI,Missing Information,Staffing/Workload,Meeting,Central
1006A,DM,8A,MI,SUPERVISION,TWG,MI,Missing Information,Supervision,Technical Working Group,Central
1006A,DM,8A,MI,SUPERVISION,MEETING,MI,Missing Information,Supervision,Meeting,Central
1006A,DM,8A,MI,FEEDBACK,TWG,MI,Missing Information,Provide Feedback,Technical Working Group,Central
1006A,DM,8A,MI,FEEDBACK,MEETING,MI,Missing Information,Provide Feedback,Meeting,Central
1006A,DM,9A,MI,PRIORITIZE,MI,MI,Missing Information,Prioritization,Missing Information,Central
1007A,DM,1A,TREAT,RESMOB,SUPVISIT,QUARTERLY,Patients Treated,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,1A,TREAT,RESMOB,PER FACINCHGE,QUARTERLY,Patients Treated,Resource Mobilization,Facility in Chart,Central
1007A,DM,1A,TREAT,RESMOB,FAC,QUARTERLY,Patients Treated,Resource Mobilization,Facility,Central
1007A,DM,1A,DRUG SUPPLY,RESMOB,SUPVISIT,QUARTERLY,Drug Supply,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,1A,DRUG SUPPLY,RESMOB,PER FACINCHGE,QUARTERLY,Drug Supply,Resource Mobilization,Facility in Chart,Central
1007A,DM,1A,DRUG SUPPLY,RESMOB,FAC,QUARTERLY,Drug Supply,Resource Mobilization,Facility,Central
1007A,DM,1A,DRUG CONSUMP,RESMOB,SUPVISIT,QUARTERLY,Drug Consumption,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,1A,DRUG CONSUMP,RESMOB,PER FACINCHGE,QUARTERLY,Drug Consumption,Resource Mobilization,Facility in Chart,Central
1007A,DM,1A,DRUG CONSUMP,RESMOB,FAC,QUARTERLY,Drug Consumption,Resource Mobilization,Facility,Central
1007A,DM,1A,NEWCASE,RESMOB,SUPVISIT,QUARTERLY,New Cases,Resource Mobilization,Data Is Accessed During Supervision Visits,Central
1007A,DM,1A,NEWCASE,RESMOB,PER FACINCHGE,QUARTERLY,New Cases,Resource Mobilization,Facility in Chart,Central
1007A,DM,1A,NEWCASE,RESMOB,FAC,QUARTERLY,New Cases,Resource Mobilization,Facility,Central
1007A,DM,2A,TEST HIV,DRUG SUPPLY,FAC,QUARTERLY,Test HIV,Drug Supply,Facility,Central
1007A,DM,2A,TEST HIV,DRUG SUPPLY,SYS DATABASE,QUARTERLY,Test HIV,Drug Supply,Database,Central
1007A,DM,2A,TEST HIV,DRUG SUPPLY,SUPPLYLIST,QUARTERLY,Test HIV,Drug Supply,Supply List,Central
1007A,DM,3A,TEST HIV,TREATINIT,MI,MI,Test HIV,Treatment Initiation,Missing Information,Central
1007A,DM,7A,MI,DRUG SUPPLY,MI,MI,Missing Information,Drug Supply,Missing Information,Central
1007A,DM,8A,DRUG SUPPLY,DRUG SUPPLY,MI,MI,Drug Supply,Drug Supply,Missing Information,Central
1007A,DM,8A,DRUG STOCKOUT,DRUG SUPPLY,MI,MI,Drug Stock Out,Drug Supply,Missing Information,Central
1007A,DM,8A,DRUG EXPIRY,DRUG SUPPLY,MI,MI,Drug Expiry,Drug Supply,Missing Information,Central
1007A,DM,8A,TEST HIV,DRUG SUPPLY,MI,MI,Test HIV,Drug Supply,Missing Information,Central
1007A,DM,9A,MI,PROBLEMSOLVE,MI,MI,Missing Information,Problem Solve,Missing Information,Central
1008A,DM,1A,DRUG SUPPLY,DRUG SUPPLY,RPT LMIS,MONTH Q,Drug Supply,Drug Supply,LMIS Report,Central
1008A,DM,2A,DRUG STOCKOUT,DRUG SUPPLY,PER SUPPLY,MONTHLY,Drug Stock Out,Drug Supply,Supply Chain Manager,Central
1008A,DM,2A,DRUG SUPPLY,DRUG SUPPLY,PER SUPPLY,MONTHLY,Drug Supply,Drug Supply,Supply Chain Manager,Central
1009A,DM,1A,DRUG SUPPLY,DRUG SUPPLY,SUPVISIT,QUARTERLY,Drug Supply,Drug Supply,Data Is Accessed During Supervision Visits,Central
1009A,DM,2A,MI,MANAGE,SYS DHIS2,MI,Missing Information,Manage Staff And Facilities,DHIS2,Central
1009A,DM,3A,MI,LINK,MI,MI,Missing Information,Link Partners And Programs,Missing Information,Central
1009A,DM,3A,MI,TREATINIT,MI,MI,Missing Information,Treatment Initiation,Missing Information,Central
1009A,DM,4A,MI,GAP,REVIEW DIP,MI,Missing Information,Identify Gap,DIP Review,Central
1009A,DM,4A,MI,GAP,REVIEW ZONE,MI,Missing Information,Identify Gap,Zonal Review,Central
1009A,DM,5A,MI,MI,SYS DHIS2,MI,Missing Information,Missing Information,DHIS2,Central
1009A,DM,5A,MI,MI,SYS DHIS2,MI,Missing Information,Missing Information,DHIS2,Central
1009A,DM,7A,MI,DRUG SUPPLY,MI,MI,Missing Information,Drug Supply,Missing Information,Central
1009A,DM,8A,MI,GAP,SUPVISIT,QUARTERLY,Missing Information,Identify Gap,Data Is Accessed During Supervision Visits,Central
1009A,DM,8A,MI,GAP,REVIEW DIP,QUARTERLY,Missing Information,Identify Gap,DIP Review,Central
1009A,DM,8A,MI,PROGPERFORM,SUPVISIT,QUARTERLY,Missing Information,Program Performance,Data Is Accessed During Supervision Visits,Central
1009A,DM,8A,MI,PROGPERFORM,REVIEW DIP,QUARTERLY,Missing Information,Program Performance,DIP Review,Central
2102A,DM,1A,MEETING HTC,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING HTC,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING HTC,UPTAKE,FORM,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING HTC,UPTAKE,FORM,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING HTC,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,1A,MEETING HTC,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on HTC,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,1A,MEETING ARV,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING ARV,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING ARV,UPTAKE,FORM,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING ARV,UPTAKE,FORM,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING ARV,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,1A,MEETING ARV,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on ARV,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,1A,MEETING ART,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING ART,UPTAKE,PARTNER CBO,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Community Based Organization,District
2102A,DM,1A,MEETING ART,UPTAKE,FORM,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING ART,UPTAKE,FORM,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,Form,District
2102A,DM,1A,MEETING ART,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,1A,MEETING ART,UPTAKE,RPT LAHAF,QUARTERLY,Meetings on ART,Increase Uptake/Demand Creation,LAHARF Report,District
2102A,DM,2A,PREVALENCE,LINK,RPT SECTOR,QUARTERLY,Prevalence Rate HIV,Link Partners And Programs,Sector Report,District
