Period,Region Name,District Name,Working Station,HRH Cadre,Position Title,Salary Grade,Establishment,Filled Positions,Variance
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Preventive Health Services,Mobile Cinema Officer,HK,0,1,-1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Nursing Services,Principal Nursing Officer,HG,3,2,1
MoH - 2015,Central West Region,Lilongwe District,Headquarters,Nursing Services,Director of Nursing Services,HD,1,1,0
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Director of Health & Social Services,E,1,0,1
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Allied Health Professionals,Optometrist,I,1,0,1
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Preventive Health Services,Disease Control and Surveillance Assistant,HM,200,2,198
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,PBX Operator,O,3,3,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Preventive Health Services,Disease Control and Surveillance Officer,HI,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Health Services Administrator,I,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Administration,Painter,M,2,1,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Nursing Services,Home Craft Worker,M,3,1,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Attendants,Hospital Attendant,HP,14,14,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Attendants,Kitchen Attendant,P,2,2,0
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Allied Health Technical Services,Laboratory Assistant,HL,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Laboratory Assistant,HL,2,2,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Electrician,M,1,0,1
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Pharmacy,Pharmacist,HI,1,1,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Laundry Attendant,O,3,3,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Medical Technician (for Med Ass),HK,2,0,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Messenger,P,1,1,0
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Preventive Health Services,Environmental Health Officer,HI,2,0,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Mortuary Attendant,O,2,0,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Nursing Services,Nurse Technician,HK,25,21,4
MoH - 2015,Northern Region,Chitipa District,Ifumbo Rural Health Centre,Allied Health Professionals,Senior Clinical Technician,HJ,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Professionals,Senior Clinical Technician,HJ,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Nursing Services,Senior Nurse Technician,HJ,2,2,0
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Allied Health Professionals,Medical Assistant,HL,2,0,2
MoH - 2015,South West Region,Chikwawa District,Ngabu Community Hospital,Administration,Laundry Assistant,M,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Technical Services,Dental Technician,HK,1,1,0
MoH - 2015,South East Region,Zomba District,Zomba District Hospital,Pharmacy,Pharmacy Assistant,HM,2,0,2
MoH - 2015,Central West Region,Dedza District,Dedza District Hospital,Administration,Ground Labourer,R,12,0,12
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Allied Health Technical Services,Laboratory Technician,HK,1,1,0
MoH - 2015,South East Region,Phalombe District,Gogo Nazombe Rural Health Centre,Allied Health Professionals,Medical Technician (for Med Ass),HK,1,1,0
MoH - 2015,Central West Region,Dedza District,Kafere Rural Health Centre,Nursing Services,Nurse Technician,HK,14,14,0
MoH - 2015,Central East Region,Salima District,Chipoka Rural Health Centre,Attendants,Senior Head Hospital Attendant,HN,2,1,1
